galaxy,Hbeta,Hbeta note,[OIII]5007,[OIII]5007 note,[OI]6300,[OI]6300 note,[NII]6583,[NII]6583 note,log Halpha flux,log Halpha flux note,log Halpha lum,log Halpha lum note,Halpha width,Halpha width note,[NII]6583 FWHM,[NII]6583 FWHM note
NGC 514 ,0.2,  ,0.08, ,0.052,b,0.37, ,-14.64,  ,38.46,  ,3.98, ,102,
NGC 520 ,0.24,  ,0.18, ,0.014, ,0.39, ,-13.64,  ,39.33,  ,33.22, ,81,
NGC 521 ,0.32,  ,0.42,c,0.086,c,1.19, ,-14.57,  ,39.16,  ,1.09, ,176,
NGC 524 ,0.31,b ,0.15,u,0.14,u,1.54, ,-14.52,  ,38.57,  ,0.52, ,216,
NGC 598 ,0.22,u ,0.36,u,0.1,u,0.17, ,-14.7,  ,35.07,  ,2.36, ,128,
NGC 660 ,0.07,  ,0.18, ,0.047, ,0.85, ,-13.33,  ,38.89,  ,28.82, ,210,
NGC 672 ,0.27,  ,0.71, ,0.008,u,0.08, ,-14.02,  ,37.81,  ,476.5, ,127,u
NGC 676 ,0.26,  ,2.66, ,0.067,u,0.94, ,-14.22,  ,38.44,  ,0.79, ,264,
NGC 697 ,0.09,  ,0.07, ,0.022,b,0.49, ,-14.31,  ,39.01,  ,4.52, ,144,
NGC 718 ,0.48,b ,0.62, ,0.21, ,2.16, ,-14.29,  ,38.45,  ,0.85, ,202,
NGC 772 ,0.27,  ,0.21, ,0.026,b,0.75, ,-13.86,  ,39.24,  ,3.65, ,214,
NGC 777 ,0.65,c ,2.41,u,0.39,u,1.79,c,-15,c ,38.73,c ,0.23,c,   ,
NGC 783 ,0.2,  ,0.04, ,0.019, ,0.36, ,-13.54,  ,40.21,  ,21.53, ,121,
NGC 784 ,0.37,  ,1.8, ,0.006,u,0.03, ,-14,L ,37.42,L ,499, ,70,
NGC 812 ,0.15,  ,0.04,b,0.039,b,0.43, ,-14.07,  ,40.08,  ,12.7, ,209,
NGC 818 ,0.14,  ,0.14,b,0.027,u,0.45, ,-14.31,  ,39.31,  ,4.34, ,229,
NGC 841 ,0.21,u ,0.43,c,0.58,b,1.43, ,-14.52,L ,39.11,L ,1.26, ,301,
NGC 864 ,0.27,  ,0.07, ,0.012, ,0.41, ,-12.88,  ,39.8,  ,106.61, ,101,
NGC 877 ,0.16,b ,0.22,b,0.052, ,0.62, ,-14.35,  ,39.18,  ,2.21, ,168,
NGC 891 ,0.08,b ,0.08,u,0.043,u,0.29, ,-14.73,L ,37.31,L ,       , ,83,
NGC 925 ,0.29,  ,0.24, ,0.014,u,0.22, ,-14.19,  ,37.83,  ,22.24, ,142,u
NGC 959 ,0.26,  ,0.3, ,0.032, ,0.34, ,-14.16,  ,37.92,  ,27.52, ,86,
NGC 972 ,0.13,  ,0.1, ,0.026, ,0.42, ,-13.1,  ,39.64,  ,34.22, ,177,
NGC 1003,     ,  ,     , ,0.69,u,0.69,u,-14.89,  ,37.25,  ,8.67, ,   ,
NGC 1052,0.42,  ,0.85, ,0.71, ,1.2, ,-12.41,L ,40.16,L ,11.65, ,482,
